air_date,episode_count,id,name,overview,poster_path,season_number
2006-07-13,89,7246,Specials,,/lWu7cvMEiDvKaacpoTeYmoOf35T.jpg,0
2005-03-24,6,7240,Season 1,"This season introduced the main characters, and established the general plot, which revolves around Michael Scott, regional manager of the Scranton branch office, trying to convince the filmmakers of the documentary that he presides over a happy, well-running office. Meanwhile, sales rep Jim Halpert finds methods to undermine his cube-mate, Dwight Schrute; receptionist Pam Beesly tries to deal with Michael's insensitivities and flubs; and temporary employee Ryan Howard is acting mostly as an observer of the insanity around him.",/nidC2juhI57xTKTdNjYsVXlrukh.jpg,1
2005-09-20,22,7241,Season 2,"Beginning with ""The Dundies"", the second season further developed into the plot of the fear of company downsizing, along with the introduction of new characters and developing some of the minor ones—especially that of Dwight Schrute. Michael Scott soon starts a relationship with his boss Jan Levenson and, Pam Beesley and Jim Halpert’s relationship become one of the focal points of the season. Their compatibility becomes more obvious as Jim’s feelings for Pam continue to grow, while she struggles with her relationship with the warehouse worker Roy Anderson.",/maurWpTXBpxQ3I7I5P0f2ANdKZv.jpg,2
2006-09-21,23,7242,Season 3,"The season marked the move of main character Jim Halpert from Scranton to Stamford, and also introduced Rashida Jones as Karen Filippelli, and Ed Helms as Andy Bernard—both members of Dunder Mifflin Stamford—as recurring characters. Helms would later be promoted to series regular. The main plot for the early episodes of the season deals with a recurring problem in seasons one and two—the problem of company downsizing—while in the last half of the season, inter-office relationships also became a major plot point.",/g7oSbpovYoVZRmQqP1dTc2XaVNX.jpg,3
2007-09-27,19,7245,Season 4,"Season four marked the departure of Karen Filippelli as a regular character, although she appeared for a few seconds in the first episode, ""Fun Run"" and in the sixth episode, ""Branch Wars"", as the regional manager of the Utica branch. Relationships again emerged as the main theme of the season, with Jim Halpert and Pam Beesley's rising, and Michael Scott and Jan Levinson's, as well as Dwight Schrute and Angela Martin's declining. Technology was another prevalent theme as the office staff struggled with initiatives introduced by Ryan Howard to modernize the company.",/rSnldTDwgAr16KHz9cdcLL3ojSm.jpg,4
2008-09-25,26,7244,Season 5,"The fifth season of the American television comedy The Office premiered in the United States in the 2008–2009 television season on NBC on September 25, 2008 and concluded on May 14, 2009. The fifth season consisted of 28 half-hours of material, divided into 24 half-hour episodes and two hour-long episodes. The Office is an American adaptation of the British TV series of the same name, and is presented in a mockumentary format, portraying the daily lives of office employees in the Scranton, Pennsylvania branch of the fictitious Dunder Mifflin Paper Company.",/A7N49ibgZYkjU0UqinSq6IkR4rT.jpg,5
2009-09-17,26,7243,Season 6,"The sixth season of the American television comedy The Office premiered in the United States on NBC on September 17, 2009, and concluded on May 20, 2010. The season consisted of 22 half-hour episodes, and 2 hour-long episodes to comprise the 26 total episodes of material created.",/hk3a9U26J726oV8nHTdeMTtH91B.jpg,6
2010-09-23,26,7247,Season 7,"The seventh season of the American television comedy The Office premiered on September 23, 2010 and concluded on May 19, 2011. The season consisted of 26 half-hours of material, divided into 22 half-hour episodes and two hour-long episodes. The seventh season aired on Thursdays at 9:00 p.m. as part of Comedy Night Done Right. This was the last season to feature Michael Scott, played by Steve Carell, as the lead character.",/uR3y9BwPA8gnk2nmB6ncQejEe8k.jpg,7
2011-09-22,24,7248,Season 8,"The eighth season largely centers around Andy Bernard's ascension to regional manager, as well as the antics of Robert California, the new CEO of Sabre, a fictional printer company that owns Dunder Mifflin. Halfway through the season, Dwight Schrute —along with Jim Halpert, Stanley Hudson, Ryan Howard, Erin Hannon, and Cathy —travel to Florida to help set up a Sabre Store, where Nellie Bertram is introduced. Eventually, former CEO of Dunder Mifflin David Wallace buys back the company, firing California.",/qDRZ2BZUYbKTalyKtsCfOuZvAp.jpg,8
2012-09-20,23,7249,Season 9,The ninth season largely focuses on the relationship between Jim and Pam Halpert.,/spvUNRZsPzNMhIxzrAqK9mV029s.jpg,9
